Uniprot	Histones	Absolute quantification accuracy	Length	Mass	Chromatome	Unique_razor_pept	Total_pept	Copy number Chromatome	protein_group
NaN		medium	146	16.445	8302220.58385	7	7	109209650.549938	P62249
NaN		high	428	47.064	2451017.395275	17	17	10998215.6172392	Q14254
NaN		high	194	22.591	10837304.0779167	11	11	107285031.830544	P46781
NaN		high	4128	469.089	7501871.57674083	173	173	3490193.79276738	P78527
NaN		medium	425	47.656	3913876.17448333	9	15	17686331.3273385	Q09028
NaN		high	808	90.981	1163820.68318	31	31	2766268.39882617	P25205
NaN		low	724	83.264	2838168.826775	13	27	7528687.39131273	P08238
NaN		high	458	51.589	723363.012085	17	17	3033265.49807119	Q1ED39
NaN		high	941	106.925	4731501.42410833	41	41	9656704.83107563	O94906
NaN		high	224	25.172	2559947.81445167	9	9	21948391.5365618	Q9Y3B3
NaN		high	305	34.095	2627917.46499	13	13	16547465.6038338	Q9UHQ9
NaN		high	218	25.65	1567907.11203333	10	10	13812854.6432879	P82930
NaN		high	535	57.488	1126170.00732417	19	19	4042683.85400972	P78371
NaN		high	3256	358.694	6232512.38441667	111	111	3676193.46833548	P46013
NaN		medium	197	21.834	772494.180871667	7	7	7530929.73551618	Q9NUP9
NaN		low	432	48.106	443869.001644167	7	26	1973288.90812826	Q04695
NaN		high	783	85.951	7017852.95621667	30	30	17213219.5214555	Q8TCS8
NaN	+	low	143	15.145	21513440.780775	2	8	288930535.899577	P16104
NaN		medium	194	22.083	2638046.11826667	6	6	26115615.0767609	Q9BRJ6
NaN		medium	245	27.745	1852981.86039167	6	9	14525285.8769534	P63104
NaN		high	613	66.901	4396839.44604167	20	20	13775257.8841259	O95831
NaN		high	206	24.49	804989.852846667	8	8	7504863.38167458	Q9NQ50
NaN		high	224	25.177	5244347.12554417	9	9	44963800.9865998	Q00688
NaN		medium	91	10.739	3037557.06370833	5	5	64106587.3392963	P07919
NaN		high	322	35.541	1535637.70451583	10	10	9159093.66365158	P55735
NaN		high	704	80.11	3002212.76871667	25	25	8190085.08801132	Q12931
NaN		medium	129	13.696	6593965.45405	5	5	98169496.2363355	P10606
NaN		high	1297	143.702	1568571.80809917	47	48	2322651.40832017	Q5JTH9
NaN		high	1002	113.086	1499326.83341417	34	34	2873744.79214941	Q08379
NaN		medium	58	6.458	4532040.87045833	3	3	150067079.026369	Q96IX5
NaN		medium	125	14.463	12994768.94435	6	6	199654063.646481	P62899
NaN		medium	125	13.825	1852133.94761083	5	5	28456532.8280717	Q9Y3D7
NaN		medium	195	21.527	1996638.01804333	7	7	19664564.3769787	Q9H061
NaN		high	917	102.486	4790984.46731083	30	36	10034021.617195	P19367
NaN		low	180	20.511	713757.771095	3	7	7615491.7107974	P18085
NaN		high	588	68.003	5148276.28804167	23	23	16815280.830996	O00541
NaN		medium	151	17.222	10053115.9497583	7	7	127862546.474954	P62277
NaN		high	262	29.601	882117.934775	8	10	6466137.95221832	Q9Y657
NaN		high	199	22.11	2251259.744725	8	10	21726618.2920316	Q06830
NaN		medium	154	16.954	1353617.37148167	7	7	16880869.1502515	Q56VL3
NaN		high	325	36.909	1583507.387	12	12	9357424.63231217	Q9BYD6
NaN		high	203	22.774	1256851.19674	6	8	11890700.2232555	P51153
NaN		high	582	65.654	1536996.75174167	20	20	5071887.01324285	Q5BKZ1
NaN		medium	137	16.402	1204771.38368583	4	4	16888990.1109446	P17568
NaN		low	636	70.671	4390433.89478333	12	25	13257753.2575915	P11940
NaN	+	high	213	22.487	9862887.15188333	10	10	88929134.5459147	Q92522
NaN		medium	165	18.506	370298.244215833	7	7	4310099.6753444	P60981
NaN		high	1410	152.456	6006954.61971667	52	52	8181912.74159509	Q9P2E9
NaN		medium	106	12.49	794020.53208	4	4	14386179.4274404	Q7Z7K0
NaN		high	217	24.831	16315133.0808333	11	11	144394447.038067	P62906
NaN		high	266	29.996	20585740.6644167	12	12	148629311.441283	P62424
NaN		high	1483	170.903	2800184.02651417	59	59	3626310.83830927	Q9UIG0
NaN		high	847	96.558	2842528.74246667	29	29	6445269.17527597	Q8IY81
NaN		medium	482	55.103	1311364.8180875	11	17	5225117.90714394	Q13547
NaN		medium	109	12.349	3428485.02956917	4	4	60408126.2170087	Q9GZT3
NaN		high	546	61.891	1033611.86889	17	17	3635669.9456282	P40222
NaN		high	365	41.193	3754400.695125	13	13	19754560.0624795	Q15050
NaN		high	812	90.064	1638152.40786667	25	25	3874519.76265578	O94901
NaN		medium	247	28.303	499083.1807675	6	10	3880570.57425892	P61981
NaN		high	464	50.817	1225259.70694667	16	16	5071422.30525591	P49821
NaN		high	414	47.611	1929327.57436917	16	16	8950045.33996515	Q92552
NaN		high	621	69.721	2577727.53874167	20	22	7971958.26231777	P51114
NaN		medium	136	15.798	12034691.85075	5	5	169947848.697337	P61353
NaN		medium	108	12.588	2511019.78038333	5	5	44652521.0128848	P18859
NaN		high	418	46.441	7985344.6915025	16	16	36689094.2851701	P50454
NaN		high	256	27.693	7600409.29256083	8	8	57018609.2440354	P30048
NaN		high	794	89.595	1313390.8441775	30	30	3176823.50349753	O94874
NaN		medium	675	74.176	10531225.3119083	17	23	29963651.4665526	Q9UJS0
NaN		high	203	23.577	7557934.381	10	10	71503398.5444009	P40429
NaN		high	215	24.593	5470257.96771667	10	10	48863992.9386085	O75396
NaN		high	275	31.441	1299260.72519417	9	9	9073675.04543139	P19387
NaN		high	645	73.563	1663534.80558	24	24	4953267.49809086	Q6PI48
NaN		medium	119	14.188	4763925.73744167	6	6	76884293.2674678	O95298
NaN		high	503	56.975	3509769.8791	18	18	13400785.7137132	Q8NC56
NaN		high	1023	115.935	9427068.35605833	26	32	17697854.798332	Q02218
NaN		high	528	59.143	1447437.5611	21	21	5264844.16584061	P54577
NaN		high	717	81.628	5551595.29041667	30	30	14870249.2525723	Q9H307
NaN		high	1226	136.066	5369067.675575	44	44	8410620.03013936	P55265
NaN		high	216	24.423	3460947.68880833	9	9	30772365.9937512	P62826
NaN		high	249	26.669	1582025.35329917	9	9	12202075.2011472	P60174
NaN		high	260	29.634	2191395.26162333	9	9	16187022.6882042	O60762
NaN		high	195	21.671	2719640.9167275	6	8	26785302.7969802	O00264
NaN		medium	732	84.66	1845775.47466333	15	27	4842698.09749455	P07900
NaN		high	480	53.126	1747282.844375	14	14	6991036.67761604	Q12849
NaN		high	490	54.973	14061692.415	18	18	55113896.8512324	O76021
NaN		medium	322	34.911	798797.163760833	5	6	4764312.58468704	Q00577
NaN		high	361	37.893	4037729.31130583	10	10	21480758.068419	O96008
NaN		high	858	95.338	3273894.06045833	30	32	7328193.68602948	P13639
NaN		high	668	75.023	3126781.16049667	20	26	8989605.4108231	O94776
NaN		high	418	47.371	961640.941683333	13	13	4418310.86082535	P61158
NaN		high	348	39.171	3673306.2758	10	13	20272042.2187626	O75477
NaN		high	553	61.207	5561164.28604167	19	19	19313465.088961	Q5SSJ5
NaN		high	968	108.17	2811191.80229167	29	29	5577437.66970811	O60716
NaN		high	328	37.155	2037093.40967	10	10	11927699.9395166	O43684
NaN		high	235	27.277	7170497.97409167	7	9	58600464.746547	Q9BVK6
NaN		high	336	36.865	917186.734413333	11	11	5242495.81583921	Q9HBH5
NaN		high	825	90.584	43736138.6950833	29	30	101813670.539913	Q00839
NaN		high	312	34.324	6419060.92306667	10	10	39512681.9498226	Q53GQ0
NaN		high	797	87.082	1863530.02609167	29	29	4490530.7892163	Q9Y446
NaN		high	210	24.551	8017892.92716667	8	8	73326433.6177376	P19388
NaN		high	571	64.733	1785113.4784025	17	18	6004119.48072403	Q10471
NaN		medium	99	10.922	1025632.28355	3	3	19896472.8269816	O43678
NaN		low	448	49.924	2062336.18883333	2	13	8840993.14388373	P68366
NaN		medium	157	17.779	4070971.29088333	7	7	49798698.488208	P83731
NaN		high	618	68.118	1589514.4145525	14	15	4939643.43452463	Q8IXI1
NaN		medium	94	10.918	4437697.52938667	3	3	90667042.4307611	P56134
NaN		high	1217	135.577	11462389.6021333	41	41	18088568.2474822	Q15393
NaN		high	1390	158.554	1347951.6903125	40	45	1862426.45742722	Q6PL18
NaN		high	474	51.294	5758976.71579167	16	16	23333859.9075462	P55084
NaN		high	288	32.728	14507298.73225	15	15	96741690.3496722	Q02878
NaN		medium	232	26.688	744423.870395	7	7	6162428.74793315	Q9UEU0
NaN		high	439	51.958	1415269.0331575	14	14	6191474.50708015	P55081
NaN		high	585	64.99	1053933.87287083	19	19	3460007.99090884	Q9BY44
NaN		medium	110	12.538	9645266.94758333	6	6	168399645.105358	P18077
NaN		medium	169	19.577	8947836.56855833	7	7	101683607.0552	P13073
NaN		medium	305	33.581	718668.956528333	7	7	4525313.29355923	Q9GZS3
NaN		high	359	39.233	3162574.7374175	12	12	16918659.6568472	P11177
NaN		high	1179	134.552	2277307.021965	41	41	3709602.5833772	Q92896
NaN		high	296	33.42	1031959.68185917	9	9	6695617.31906679	Q9P015
NaN		medium	644	70.783	1975343.11404167	13	22	5890827.1613001	Q13310
NaN		high	246	27.992	12005627.8533417	11	11	93728005.4286497	P51572
NaN		high	456	50.801	11530237.044925	14	14	48561601.2265944	P39656
NaN		medium	83	9.344	1080701.589755	3	3	25006177.1273577	Q9Y5J9
NaN		high	288	33.666	7569324.955325	10	12	50475922.8095475	P62995
NaN		low	65	7.619	672868.725231667	2	2	19880925.2027673	O75394
NaN		high	216	24.915	968295.886871667	8	8	8609420.91595679	Q96A35
NaN		high	592	67.568	29062659.840775	25	26	94282970.5407989	P27824
NaN		high	313	34.404	506812.085759167	9	9	3109726.75657045	O75569
NaN		medium	175	20.108	2177022.62147833	7	7	23891559.4690369	O43181
NaN		high	2144	242.37	4190498.18785833	72	72	3753707.96004093	Q9H583
NaN		high	353	39.646	2612528.38481083	12	12	14213659.8312689	Q3ZCQ8
NaN		high	259	28.431	1637848.71146917	9	9	12144891.0858524	O96011
NaN		medium	144	17	1730353.000565	5	5	23077662.8048829	P41223
NaN		medium	236	26.423	974549.49095	7	7	7930699.62233676	Q5HYI8
NaN		high	433	45.547	1116307.01745833	8	10	4951255.79439347	Q52LJ0
NaN		low	84	9.477	2594990.6882	1	3	59330242.4232377	Q71UM5
NaN		low	84	9.461	13393897.7031667	1	3	306229691.433744	P42677
NaN		high	796	89.835	2660459.53755833	31	31	6418938.21774281	Q96GQ7
NaN		high	510	57.549	5126943.3271625	16	16	19306695.4467999	P49257
NaN		medium	166	18.237	1382240.92352833	5	6	15991723.1981994	Q9Y3C6
NaN		high	361	41.45	1799263.3294	11	11	9572097.90463143	O75683
NaN		medium	198	21.348	6059594.13335	5	5	58775719.1102778	P52815
NaN		medium	135	15.86	6142435.46341667	5	5	87382897.0183996	P62910
NaN		high	188	21.634	14719589.0025833	8	8	150368698.161932	Q07020
NaN		medium	106	11.731	2432323.64605917	4	4	44069193.4075674	Q9Y2R0
NaN		high	468	50.144	732348.949701667	12	12	3005327.56765757	Q9UKX7
NaN		high	349	40.111	491394.591584167	9	9	2704111.22157887	Q9H9Y2
NaN		high	810	89.131	952511.0921	25	25	2258419.56787284	O75152
NaN		medium	128	15.489	1676028.5335625	5	5	25147281.5103763	O95139
NaN		high	414	44.74	4220471.8287525	11	11	19578538.5152811	Q13148
NaN		medium	115	13.015	10637598.0239167	4	4	177650052.377771	P62854
NaN		high	396	45.835	1085453.7630425	15	15	5264240.8121573	P82933
NaN		high	249	28.681	11148321.2868333	10	10	85986393.5965423	P62753
NaN		medium	75	8.781	9449392.55230833	5	5	241970394.669135	P09669
NaN		high	292	32.234	2598397.26762417	11	11	17090009.5174029	Q14165
NaN		medium	201	22.761	10540742.92525	7	7	100715141.985802	Q15363
NaN		medium	201	23.025	10487986.1032833	7	7	100211058.843582	Q15286
NaN		high	710	76.614	23648161.2184167	24	24	63967390.4315478	P19338
NaN		medium	191	21.259	3144890.55324833	5	6	31622177.6289909	P60953
NaN		high	577	63.182	1953917.78365	16	19	6503543.92254507	O95793
NaN		high	445	52.623	3020995.453575	11	11	13037960.6470102	Q96CS3
NaN		high	262	29.277	3273629.60649167	8	8	23996497.2999223	Q96E11
NaN		high	325	37.031	430397.860259167	9	9	2543351.27979013	O14662
NaN		high	734	82.286	923330.1380725	23	23	2415908.91643332	P33992
NaN		medium	323	34.47	1033946.48123	6	10	6147735.04998452	Q9H936
NaN		medium	280	31.323	669366.21069	7	7	4591190.98932592	Q53HL2
NaN		medium	117	13.293	8784190.30191667	6	6	144190112.020531	P49207
NaN		high	358	40.514	2876538.43159167	12	12	15431450.8256024	Q9UBS4
NaN		high	1129	124.345	1178039.90631667	34	34	2003944.39074162	Q92900
NaN		high	211	24.261	12092952.9743333	9	9	110070138.741851	P26373
NaN		high	552	59.69	2109818.21384167	10	13	7340498.67573993	O95758
NaN		high	250	28.613	904488.331083333	8	8	6948364.05306491	O95249
NaN		medium	209	23.881	874105.583348333	7	7	8032249.92824358	Q8TED1
NaN		high	798	88.885	858389.1358675	24	24	2065860.18760056	O75534
NaN		high	355	40.751	5671352.48383333	12	12	30681592.1337485	O95299
NaN		medium	58	6.961	1482428.91816667	4	4	49086886.895394	O75438
NaN		high	398	45.097	1032263.01845667	12	12	4981118.82281447	Q8N2K0
NaN		low	365	38.58	3156385.37916667	4	10	16607978.1079425	Q15366
NaN		high	642	72.38	1708841.46891333	18	18	5111947.10871751	Q8WVM8
NaN		high	1086	113.896	4389562.82164833	36	36	7762668.651456	Q13423
NaN		high	430	48.565	1275209.41865833	14	14	5695510.55876231	P42696
NaN		high	855	100.01	881596.4284475	28	28	1980265.00394286	Q9HCS7
NaN		high	424	48.487	617857.159955833	10	10	2798606.46058136	Q9UKS6
NaN		high	589	65.309	1271440.90236667	16	16	4145724.9855881	P30153
NaN		high	389	41.544	2405840.77102917	12	12	11877823.958257	Q9NZJ7
NaN		medium	113	12.497	4870035.19183333	4	4	82770058.3179982	P61803
NaN		high	681	78.864	1461980.983875	18	19	4123008.37511642	O00566
NaN		medium	437	48.062	888474.291681667	6	12	3904658.29683797	P05549
NaN		high	506	56.921	1009004.79394583	16	16	3829678.51155892	Q96JB5
NaN		high	344	39.311	491709.309871667	9	10	2745172.20979505	Q96GD4
NaN		medium	128	14.787	9819053.73181667	4	4	147325957.413539	P35268
NaN		high	482	53.487	1272432.39705917	12	12	5069992.12713385	P11182
NaN		high	351	39.867	968786.08084	12	12	5300787.3129286	Q8NE86
NaN		high	1130	119.7	713695.649516667	23	23	1212981.5946886	Q8IZL8
NaN		high	553	60.547	1736865.85149833	15	15	6031991.91063609	Q49A26
NaN		high	773	88.368	2103669.062135	24	24	5226579.14515986	P50416
NaN		high	325	35.422	4904415.0999325	8	8	28981673.8715297	P08574
NaN		high	337	38.915	793774.35048	10	11	4523626.77086927	P48729
NaN		medium	219	24.976	13538890.2171083	7	7	118729477.614748	P49755
NaN		high	600	64.122	1111015.575935	20	20	3556219.03609663	Q9P2K5
NaN		medium	133	15.423	3769981.81796667	4	4	54438634.0899648	P62847
NaN		medium	227	25.943	2289927.58632333	4	6	19373830.5510583	Q7Z7H5
NaN		medium	166	19.181	825559.382835	4	4	9551241.68967136	Q8WUD4
NaN		high	1441	163.821	1939336.729575	41	41	2584692.28842852	Q96T23
NaN		high	285	32.992	816412.141048333	9	9	5501539.04738178	Q9ULR0
NaN		high	238	27.367	18614751.0866917	9	10	150210358.066863	Q16629
NaN		high	480	52.489	1576482.24686083	12	12	6307648.04043899	Q96EY1
NaN		high	669	69.492	5660502.11628333	23	23	16249815.8783284	Q96PK6
NaN		high	623	67.878	356704.585483333	14	14	1099613.97531026	P29401
NaN		high	362	40.095	30359512.9122917	12	12	161066727.188943	Q00325
NaN		high	297	34.834	1200370.09741833	8	8	7762083.74374323	Q15006
NaN		medium	101	11.471	1332111.1104	3	3	25330203.6760921	P31151
NaN		high	921	102.357	1761437.4794525	24	25	3673053.10887281	A0FGR8
NaN		medium	308	34.482	814370.533425833	6	6	5077979.45867608	O14579
NaN		high	719	81.308	714003.172811667	21	21	1907176.36673862	P33993
NaN		high	453	48.755	4452061.35168167	12	12	18874808.0473639	P36957
NaN		medium	183	20.087	878898.199756667	5	5	9223740.80331592	Q5J8M3
NaN		high	318	35.818	1066020.31607333	10	10	6438103.68486479	Q96QD9
NaN		high	1140	126.968	2901777.20872667	33	33	4888536.01567984	Q16531
NaN		high	1249	135.624	1264563.36485083	29	29	1944454.39929066	Q27J81
NaN		medium	178	21.188	2331158.46144167	6	6	25151934.8086522	Q9Y3C1
NaN		high	906	102.487	1248489.6442875	26	26	2646527.13918093	P35606
NaN		medium	125	13.742	10136892.193	5	5	155745110.032041	P62851
NaN		high	296	34.038	1163823.81080833	8	8	7551185.38153708	Q9Y320
NaN		high	306	35.583	2568311.39949583	8	8	16119288.1210872	Q9H7B2
NaN		high	1082	120.207	781552.858653333	28	28	1387237.11703651	Q8IX01
NaN		medium	215	23.384	882910.514836667	5	5	7886745.63741098	Q13765
NaN		high	464	49.997	662484.981773333	10	10	2742064.47369005	Q96I51
NaN		high	764	89.406	4192507.47386667	24	24	10539016.6847417	P17480
NaN		medium	198	23.37	503112.476306667	6	6	4879996.40529208	Q9Y324
NaN		high	579	65.521	1004021.58549167	17	17	3330305.62756349	O60508
NaN		high	2012	227.922	4518500.57990833	55	55	4313064.68119267	Q92621
NaN		high	311	34.013	9257278.12695833	11	11	57166621.7010935	P53007
NaN		medium	103	11.428	4880780.6775	3	3	91006345.1135992	O75964
NaN		high	606	64.954	744574.736425833	14	15	2359691.76776299	Q9UNF1
NaN		medium	150	16.762	5517399.609475	5	5	70641967.3889973	P20674
NaN		medium	69	7.933	3794122.79331667	3	3	105604371.62678	P56385
NaN		medium	229	26.624	1354849.01385	6	6	11362529.463489	Q9P013
NaN		high	246	29.097	7590117.38066667	10	10	59256089.872984	Q00059
NaN		high	610	68.071	915718.629019167	16	16	2883047.64482817	O15213
NaN		medium	86	9.725	5058606.79091667	4	4	112967125.119753	P62306
NaN		high	1887	205.111	3447655.805575	48	48	3508904.97177913	Q8TEM1
NaN		high	292	33.535	2556038.01851667	10	10	16811407.0190793	P49406
NaN		high	463	52.546	1939574.70061583	11	11	8045353.38354242	O75306
NaN		high	420	46.438	16808539.904075	8	10	76859986.5752254	O14979
NaN		medium	262	29.379	890428.30537	7	7	6527054.97995684	Q8IXM6
NaN		medium	204	24.146	13152836.4791667	7	7	123825148.80722	P61313
NaN		medium	227	25.565	16215761.3173583	6	6	137192727.794209	P00403
NaN		medium	344	39.587	6537963.10575	10	14	36500904.6325653	Q13247
NaN		medium	206	23.63	1298991.09210833	6	6	12110401.945827	Q14197
NaN		high	406	45.626	6846790.524675	10	10	32387737.638117	P62195
NaN		high	609	69.367	1624665.76368167	15	19	5123495.28966595	P02768
NaN		medium	198	21.892	1029091.254125	7	7	9981787.090063	P32119
NaN		high	552	60.868	852198.6237525	16	16	2964977.1852771	Q9UQB8
NaN		high	298	32.996	5827265.85274167	9	9	37555035.1754662	P36542
NaN		high	432	47.405	1796476.83314167	10	10	7986518.08397672	Q9BV38
NaN		high	326	36.087	4409300.27329167	7	8	25975964.396938	O75190
NaN		medium	313	34.645	415384.463963333	5	5	2548739.89422635	P13051
NaN		high	475	54.813	3206488.50971583	12	12	12964497.3568356	O75844
NaN		medium	131	14.686	781929.706054167	3	3	11463467.9762483	Q8N4V1
NaN		medium	215	23.432	7100173.26593333	7	7	63423483.5682311	P50914
NaN		high	350	37.895	744576.121530833	8	8	4085645.34683128	P13995
NaN		high	734	83.065	968479.140161667	19	19	2534042.04370564	Q9Y4W2
NaN		medium	118	13.758	429502.525125833	3	3	6990420.79533115	O75348
NaN		high	446	50.381	1217057.67989167	14	14	5240779.74142616	Q5T3I0
NaN		medium	105	12.254	3011877.837225	4	4	55089351.3550716	Q9Y3U8
NaN		high	479	54.558	2006338.77839167	11	11	8044301.85980716	Q9NQZ2
NaN		high	262	31.301	4453220.57544167	9	9	32643184.5871126	O75494
NaN		high	375	41.86	544688.0125975	10	10	2789562.877194	Q9NXW2
NaN		high	641	71.086	679890.19492	14	14	2037043.73648029	Q9H6W3
NaN		medium	198	21.642	485984.25576	5	5	4713859.29155882	P31431
NaN		medium	123	14.234	1314837.13715	4	4	20529882.1242878	E9PRG8
NaN		high	1220	139.315	611846.76241	25	26	963168.877131674	Q14562
NaN		high	479	53.927	524075.692175833	12	12	2101251.847721	Q9UMR2
NaN		medium	354	40.532	748757.752128333	4	8	4062166.07582601	P08754
NaN		high	362	43.16	4657912.066825	10	10	24711682.7699051	Q9P035
NaN		high	888	100.053	643471.842845	21	21	1391669.7493203	O94880
NaN		high	632	71.027	2256845.56	15	15	6858108.74859153	Q9H0H5
NaN		high	1970	217.176	1763297.183075	45	45	1719011.93787472	P24928
NaN		high	837	91.918	1958222.894495	22	22	4493205.38765338	Q13724
NaN		medium	143	15.808	13341543.9705833	4	4	179180052.527588	P62266
NaN		high	1443	160.884	2627681.6272	35	35	3497244.68272544	Q10570
NaN		medium	98	11.402	1133701.29955667	3	3	22217345.7645903	O43676
NaN		high	860	97.182	961490.689675	19	19	2147169.04340198	Q99549
NaN		high	1821	206.689	1102399.24249917	41	43	1162648.84766189	Q8WWQ0
NaN		high	1009	113.929	1001558.348075	22	22	1906359.02203958	Q14527
NaN		medium	148	16.561	10185471.9013333	5	5	132171873.115374	P46776
NaN		high	599	67.498	836605.844381667	12	12	2682339.07925798	Q9Y2R4
NaN		medium	245	27.626	2910092.23783333	7	7	22811837.8200948	Q9NX40
NaN		high	848	100.452	999880.426291667	23	23	2264497.36459211	Q9BZJ0
NaN		high	610	66.82	1491900.84205	15	15	4697099.16636346	Q6NUM9
NaN		high	547	58.994	1293561.42812917	13	13	4541709.33101254	P22307
NaN		high	408	46.837	466239.506461667	11	11	2194666.38845792	P05455
NaN		high	767	86.479	551237.032934167	14	16	1380265.48345785	Q15437
NaN		medium	424	44.386	2394724.44032167	7	7	10846991.3830494	Q15427
NaN		medium	145	16.298	3645913.12781917	3	3	48290079.3805402	Q15388
NaN		high	1001	118.103	1361046.5219875	26	26	2611310.39620005	Q8IXT5
NaN		high	555	61.656	1317549.98381	11	11	4559253.30955625	Q96S52
NaN		medium	267	30.243	1407620.054265	7	7	10124971.032165	Q9BYD2
NaN		high	923	102.902	536987.525019167	17	17	1117331.64928569	Q8N163
NaN		high	396	44.244	497936.529958333	9	9	2414895.86394111	Q15007
NaN		high	576	62.608	1672039.12985833	14	14	5574983.14257856	P38432
NaN		medium	257	28.025	17455167.3880833	7	7	130439912.769325	P62917
NaN		high	1162	132.793	1989810.005385	24	25	3288706.27828025	Q9Y2K7
NaN		medium	1976	228.999	882009.163416667	30	45	857246.581751651	P35580
NaN		high	919	102.452	6090023.04461667	21	21	12726911.6651159	Q15269
NaN		medium	189	21.198	4105058.56396333	4	4	41713550.6272874	Q6UW68
NaN		high	2426	263.83	3700697.28175833	44	44	2929627.27134217	P18583
NaN		high	403	45.809	493309.436675	8	9	2350899.05993329	O14965
NaN		low	71	8.023	577466.967463333	2	2	15620265.198582	Q69YU5
NaN		medium	228	26.132	718098.290943333	6	6	6048792.00842413	Q12981
NaN		high	296	33.249	1108590.23059417	9	9	7192815.84174094	Q9Y399
NaN		high	1410	155.344	1441736.9237525	27	27	1963751.42701429	Q7Z3K3
NaN		medium	248	26.397	4020535.23041667	6	6	31135209.78972	Q9Y3Y2
NaN		low	169	18.298	1667525.63345	2	2	18949834.406008	Q9Y6A9
NaN		medium	155	17.599	3302888.97252	3	3	40924358.6450177	P10620
NaN		high	501	55.828	855000.695133333	10	10	3277542.61467928	Q13610
NaN		high	940	105.953	2707679.51516667	20	20	5532087.12096358	Q01831
NaN		medium	244	27.248	266079.914064167	5	5	2094314.35942405	Q6IQ22
NaN		high	286	33.743	2499336.37108417	7	8	16783335.6934696	O75323
NaN		high	727	82.785	2718073.61641667	14	14	7180363.14783331	P49711
NaN		high	291	33.757	853838.979239167	8	8	5635112.53396784	Q96G21
NaN		high	782	85.698	1611284.83005	19	19	3957174.21371986	P06396
NaN		medium	142	17.018	810043.602839167	4	4	10955688.0407761	P53680
NaN		high	1094	118.325	8224407.488565	20	21	14437995.5294768	P53992
NaN		high	1096	123.51	828834.778	24	24	1452369.15472123	Q6PKG0
NaN		low	449	50.094	22297709.1790833	1	8	95374771.6074593	Q9NY65
NaN		high	951	104.062	839880.392164167	20	20	1696119.82560108	Q6P1N0
NaN		medium	268	29.999	949365.57495	6	6	6803279.1442393	Q15691
NaN		medium	385	42.876	787281.777474167	7	7	3927254.76191891	Q8N490
NaN		medium	156	18.001	670741.952250833	4	4	8257536.03130742	P52298
NaN		high	1098	123.901	5922029.30419167	31	31	10358284.0702576	O14776
NaN		medium	372	42.778	399458.51323	7	7	2062283.4024044	P50750
NaN		high	887	100.39	544527.341396667	16	18	1179005.08020897	Q9UL03
NaN		high	741	83.542	638105.708639167	14	14	1653842.03918594	Q99567
NaN		medium	272	31.264	3551192.65954583	6	7	25074075.8585346	Q13243
NaN		medium	217	24.777	2933859.89847917	5	5	25965652.601739	Q9Y3Q3
NaN		high	478	54.389	1112274.3142125	10	10	4468930.66524283	Q9NZM5
NaN		high	499	55.456	1449959.10168333	10	10	5580521.83823964	Q8WWY3
NaN		medium	290	33.489	3307394.299925	6	6	21903200.6093983	Q01105
NaN		high	386	43.215	742428.21399	8	8	3693913.89812904	P53582
NaN		high	323	36.375	172264.171223333	8	8	1024264.31397723	P12429
NaN		low	92	10.804	8048703.25715833	2	2	168018728.475234	P62304
NaN		high	420	46.896	906258.1645	9	9	4144023.85660348	Q9NW64
NaN		medium	192	21.45	1369972.91404167	3	5	13703463.8098786	P63000
NaN		high	437	48.35	626389.207651667	8	8	2752849.28287285	O75616
NaN		high	1689	192.948	1226390.0504375	37	37	1394500.17807781	Q86U86
NaN		low	101	11.529	2035374.59961667	2	2	38702817.4774051	Q9NPA8
NaN		high	377	41.488	4780298.80310833	9	9	24351925.0788413	Q8TCT9
NaN		high	904	100.231	1296557.11214333	18	18	2754500.31564145	Q7Z2K6
NaN		high	3046	338.262	2528497.94333333	65	65	1594234.89510448	Q12830
NaN		medium	266	29.81	650419.50134	6	6	4696037.13599909	O43819
NaN		medium	213	23.907	322509.492805	5	6	2907920.33167631	Q9UQN3
NaN		high	1008	114.76	1191559.40343417	21	21	2270255.68238407	Q9H2U1
NaN		medium	2000	226.592	3597543.7042275	23	41	3454583.44993857	Q12873
NaN		high	409	43.171	1016861.92530833	10	10	4774834.06249458	P54727
NaN		medium	212	24.391	8032855.85164	3	3	72770225.0304114	P59190
NaN		high	229	25.19	1213067.400025	8	8	10173468.7283081	P09497
NaN		high	705	80.53	4472213.46347333	15	17	12182965.4580116	P46977
NaN		medium	242	26.471	1059934.329095	4	4	8411688.80713447	Q9NPA0
NaN		high	733	75.457	555545.433121667	15	16	1455577.0930816	P85037
NaN		high	534	60.092	1010631.1102825	11	11	3634720.42218029	Q5T8D3
NaN		medium	324	34.906	2042804.13708083	5	5	12108806.0674011	Q9HC07
NaN		low	106	12.469	5099497.48958333	1	3	92393436.833112	Q969Q0
NaN		high	412	44.562	1024607.2026225	8	8	4776170.18920754	Q14318
NaN		medium	149	17.443	723784.536800833	4	4	9329162.05503994	Q9BYC9
NaN		high	708	80.593	449122708.903333	15	15	1218291915.37873	P49959
NaN		high	486	53.812	568992.658119167	10	10	2248485.01980734	Q96CU9
NaN		medium	913	103.982	643518.424694167	13	20	1353660.67790602	Q13620
NaN		high	1512	170.591	4360546.094875	27	28	5538710.88125155	P07814
NaN		high	466	51.712	8680617.03005	12	12	35775382.4317736	O75390
NaN		medium	203	23.155	564086.872986667	4	5	5336660.31743104	O14966
NaN		high	1978	220.625	9205270.33351667	35	35	8937784.20842789	Q14966
NaN		medium	326	34.774	1220315.69343333	6	6	7189094.65015519	Q8NFH5
